series,n,r,survival_probability,required_squeezing_db,beta_alpha,beta_beta
required_squeezing,1,,0.95,0.8120196756300323,120.0,6.0
required_squeezing,2,,0.95,1.5505330691596613,120.0,6.0
required_squeezing,3,,0.95,2.390017163345314,120.0,6.0
required_squeezing,4,,0.95,3.398470436436799,120.0,6.0
required_squeezing,5,,0.95,4.685770685864091,120.0,6.0
required_squeezing,6,,0.95,6.492840776858581,120.0,6.0
required_squeezing,7,,0.95,9.597033848497082,120.0,6.0
required_squeezing,8,,0.95,,120.0,6.0
required_squeezing,9,,0.95,,120.0,6.0
required_squeezing,10,,0.95,,120.0,6.0
required_squeezing,11,,0.95,,120.0,6.0
required_squeezing,12,,0.95,,120.0,6.0
required_squeezing,13,,0.95,,120.0,6.0
required_squeezing,14,,0.95,,120.0,6.0
required_squeezing,15,,0.95,,120.0,6.0
required_squeezing,16,,0.95,,120.0,6.0
required_squeezing,17,,0.95,,120.0,6.0
required_squeezing,18,,0.95,,120.0,6.0
required_squeezing,19,,0.95,,120.0,6.0
required_squeezing,20,,0.95,,120.0,6.0
required_squeezing,21,,0.95,,120.0,6.0
required_squeezing,22,,0.95,,120.0,6.0
required_squeezing,23,,0.95,,120.0,6.0
required_squeezing,24,,0.95,,120.0,6.0
required_squeezing,25,,0.95,,120.0,6.0
required_squeezing,26,,0.95,,120.0,6.0
required_squeezing,27,,0.95,,120.0,6.0
required_squeezing,28,,0.95,,120.0,6.0
required_squeezing,29,,0.95,,120.0,6.0
required_squeezing,30,,0.95,,120.0,6.0
required_squeezing,31,,0.95,,120.0,6.0
required_squeezing,32,,0.95,,120.0,6.0
required_squeezing,33,,0.95,,120.0,6.0
required_squeezing,34,,0.95,,120.0,6.0
required_squeezing,35,,0.95,,120.0,6.0
required_squeezing,36,,0.95,,120.0,6.0
required_squeezing,37,,0.95,,120.0,6.0
required_squeezing,38,,0.95,,120.0,6.0
required_squeezing,39,,0.95,,120.0,6.0
required_squeezing,40,,0.95,,120.0,6.0
survival_n_5,5,0.05,7.899273533455945e-06,,120.0,6.0
survival_n_5,5,0.07058823529411765,4.2122452193262924e-05,,120.0,6.0
survival_n_5,5,0.0911764705882353,0.00018382707313321608,,120.0,6.0
survival_n_5,5,0.11176470588235296,0.0006695314823572075,,120.0,6.0
survival_n_5,5,0.13235294117647062,0.0020720156528115556,,120.0,6.0
survival_n_5,5,0.15294117647058825,0.0055389642683267605,,120.0,6.0
survival_n_5,5,0.1735294117647059,0.012985049106278764,,120.0,6.0
survival_n_5,5,0.19411764705882356,0.027068682555535014,,120.0,6.0
survival_n_5,5,0.2147058823529412,0.050820210116734085,,120.0,6.0
survival_n_5,5,0.23529411764705888,0.08694368305112755,,120.0,6.0
survival_n_5,5,0.2558823529411765,0.13700725557531251,,120.0,6.0
survival_n_5,5,0.27647058823529413,0.2008360446115155,,120.0,6.0
survival_n_5,5,0.2970588235294118,0.27635338742206184,,120.0,6.0
survival_n_5,5,0.31764705882352945,0.35992480638291735,,120.0,6.0
survival_n_5,5,0.3382352941176471,0.4470600982344705,,120.0,6.0
survival_n_5,5,0.35882352941176476,0.5332234270832661,,120.0,6.0
survival_n_5,5,0.3794117647058824,0.6145166830500309,,120.0,6.0
survival_n_5,5,0.4,0.6880979383905554,,120.0,6.0
survival_n_5,5,0.4205882352941177,0.7523107733334717,,120.0,6.0
survival_n_5,5,0.44117647058823534,0.8065835247310595,,120.0,6.0
survival_n_5,5,0.461764705882353,0.8511931784121131,,120.0,6.0
survival_n_5,5,0.48235294117647065,0.8869845147879615,,120.0,6.0
survival_n_5,5,0.5029411764705883,0.9151094360033702,,120.0,6.0
survival_n_5,5,0.523529411764706,0.9368210154165139,,120.0,6.0
survival_n_5,5,0.5441176470588236,0.9533319816566295,,120.0,6.0
survival_n_5,5,0.5647058823529413,0.9657316935308471,,120.0,6.0
survival_n_5,5,0.585294117647059,0.9749484608959034,,120.0,6.0
survival_n_5,5,0.6058823529411766,0.9817427738879678,,120.0,6.0
survival_n_5,5,0.6264705882352942,0.986718940296858,,120.0,6.0
survival_n_5,5,0.6470588235294119,0.9903457734208796,,120.0,6.0
survival_n_5,5,0.6676470588235296,0.9929801026831179,,120.0,6.0
survival_n_5,5,0.6882352941176472,0.9948894325777714,,120.0,6.0
survival_n_5,5,0.7088235294117649,0.9962719071961319,,120.0,6.0
survival_n_5,5,0.7294117647058825,0.9972729191311216,,120.0,6.0
survival_n_5,5,0.7500000000000001,0.9979983845713842,,120.0,6.0
